ROTA OTIMIZADA - TSP (SP) COM 2-OPT
================================================================================
Distância total: 3101.72 km
Número de pontos: 45
Cruzamentos eliminados: 3
--------------------------------------------------------------------------------
Posição | ID     | UF   | Região         | Latitude  | Longitude
--------------------------------------------------------------------------------
     1 |   3760 | SP    | Sudeste        | -21.8125852 | -47.2476332
     2 |   3763 | SP    | Sudeste        | -21.9899672 | -47.8885685
     3 |   5025 | SP    | Sudeste        | -22.2916436 | -48.0884537
     4 |   3769 | SP    | Sudeste        | -21.7145991 | -48.974826
     5 |   5030 | SP    | Sudeste        | -22.3371614 | -48.7953723
     6 |   5027 | SP    | Sudeste        | -22.2569137 | -48.5508314
     7 |   5087 | SP    | Sudeste        | -22.9620452 | -48.8096256
     8 |   3835 | SP    | Sudeste        | -23.7105849 | -49.4764553
     9 |   5084 | SP    | Sudeste        | -22.6385822 | -50.4036911
    10 |   5081 | SP    | Sudeste        | -22.4415756 | -50.9975453
    11 |   5078 | SP    | Sudeste        | -22.1789478 | -51.369391
    12 |   2308 | SP    | Sudeste        | -22.2833514 | -52.0442556
    13 |   2304 | SP    | Sudeste        | -21.4968018 | -51.6356141
    14 |   3776 | SP    | Sudeste        | -21.7954017 | -50.787045
    15 |   2010 | SP    | Sudeste        | -21.7055208 | -49.8003252
    16 |   2008 | SP    | Sudeste        | -21.6331019 | -49.7877426
    17 |   2006 | SP    | Sudeste        | -21.0696351 | -49.6653384
    18 |   5891 | SP    | Sudeste        | -20.7585619 | -49.7064342
    19 |   3627 | SP    | Sudeste        | -20.3936159 | -49.4422103
    20 |   4919 | SP    | Sudeste        | -20.7086135 | -48.5293121
    21 |    344 | SP    | Sudeste        | -20.8022968 | -47.891885
    22 |    349 | SP    | Sudeste        | -21.2081123 | -47.758834
    23 |   3684 | SP    | Sudeste        | -21.025852 | -47.307053
    24 |   5022 | SP    | Sudeste        | -21.5951593 | -46.8479077
    25 |   3759 | SP    | Sudeste        | -21.7863195 | -47.0640715
    26 |   5921 | SP    | Sudeste        | -22.6234075 | -45.1615206
    27 |   1507 | SP    | Sudeste        | -22.6515922 | -44.957803
    28 |   5923 | SP    | Sudeste        | -22.9217516 | -45.0935961
    29 |   5270 | SP    | Sudeste        | -22.9113336 | -45.4708987
    30 |   5272 | SP    | Sudeste        | -23.1855727 | -45.4649814
    31 |    378 | SP    | Sudeste        | -23.6197448 | -46.6017528
    32 |    379 | SP    | Sudeste        | -23.763823 | -46.5341354
    33 |    381 | SP    | Sudeste        | -23.8634703 | -46.4974812
    34 |   1005 | SP    | Sudeste        | -23.9020813 | -46.4568099
    35 |   1003 | SP    | Sudeste        | -23.9151385 | -46.2894499
    36 |   1009 | SP    | Sudeste        | -24.2682575 | -46.9586982
    37 |   1527 | SP    | Sudeste        | -23.6828754 | -46.858859
    38 |   1521 | SP    | Sudeste        | -23.4552847 | -46.4737985
    39 |   6171 | SP    | Sudeste        | -23.233224 | -47.5189904
    40 |   6173 | SP    | Sudeste        | -23.4502251 | -47.5139067
    41 |   1534 | SP    | Sudeste        | -24.6437753 | -47.9178686
    42 |   3831 | SP    | Sudeste        | -23.5922581 | -47.9863538
    43 |   5068 | SP    | Sudeste        | -23.3599238 | -47.8886179
    44 |   5060 | SP    | Sudeste        | -22.8541074 | -47.6840188
    45 |   5057 | SP    | Sudeste        | -22.6319916 | -47.5054118
